creative_data_id,creative_data_title,creative_data_description,creative_data_duration,creative_data_lifetime_spend_estimated,creative_data_lifetime_airings_count,creative_data_airing_date_first_et,creative_data_airing_date_last_et,speech
2194673,30s Kim's Discount - 2194673,"Kim is going for the State Farm Drive Safe & Save Discount using the app. She says she's been vigilant in refusing to speed even when meetings are starting, she needs to use the restroom or when she is even going into labor.  She refuses to let anybody mess with her discount. State Farm says you can get a discount of up to 30 percent.",30,29789808.73,13949,2019-04-06T22:19:06-04:00,2020-08-04T18:42:50-04:00,"So Kim, you going for a big drive safe and save discount. Yep. Using the app. I've been quite vigilant. Sharon says step on it. The meeting started. Ok, write her back, dear Sharon. Don't mess with my discount. I do too, honey. But we're gonna hold it for mommy's discount. Easy, easy. But you're in labor. Don't mess with my discount. Get a discount up to 30% with Drive Safe and save from State Farm."
2142915,30s New Flat - 2142915,"Uncomfortable with her shabby apartment and roommate who seems to have boundary issues, a young woman uses Credit Karma to help improve her credit score so she can upgrade her life. As her credit score ascends, so does the quality of her living space. Eventually, she swaps the dirty apartment for one with a cityscape view and her roommate for a dog before settling in to get cozy by the fireplace.",30,5423001.7,10132,2019-03-04T06:49:02-05:00,2021-08-03T11:12:36-04:00,Check your credit scores for free and learn how you can improve them at credit. Karma. Here's to progress.
1702851,30s Most Pills Don't Finish the Job - 1702851,"Flonase guesses you wouldn't accept an incomplete job in most situations in your life and presents a half-shaved dog and half-cleaned table as a couple unacceptable examples. The nasal allergy brand then takes it one step further, suggesting you shouldn't accept an incomplete job from your allergy medication either. Flonase claims to be the only medication that treats several allergy symptoms by blocking six key inflammatory substances.",30,23072716.78,8491,2018-02-19T07:42:14-05:00,2020-06-01T04:22:16-04:00,"You wouldn't accept an incomplete job from anyone else. So why accept it from your allergy pills? Most pills don't finish the job because they don't relieve nasal congestion. Flonase allergy relief is different. Flonase relieves sneezing, itchy, watery eyes and a runny nose. Plus nasal congestion, which pills don't. Flonase helped block six key inflammatory substances. Most pills only block one and six is greater than one. Start your day with Flonase for more complete allergy relief. Flonase, this changes everything."
1671980,30s Box Vlog - 1671980,"The Progressive Box starts his own vlog as he takes videos of himself doing amazing things. He uses a selfie stick to show himself making ice, kickin' it in front of a fountain and even introducing his viewers to his cashew guy, Bruno, who seems rather unimpressed. While he's narrating his life, The Box mentions that he saves safe drivers 30 percent on their car insurance and saves people an average of $620 for switching to Progressive. But, most importantly, he gives an update to say that he's ""chinchillin'"" with his new chinchilla, Rocko.",30,44909836.61,7766,2018-01-01T00:17:22-05:00,2018-06-10T15:53:15-04:00,Subword. It's the box with 30% savings for safe drivers coming at you with my brand new vlog just making some ice in my freezer here. So check back for that follow up bid. This is my cash. You got Bruno holler at him. Brune kicking it live and direct. You're at the fountain. Should I go? Habanero or Maui Onion? Should I buy a chinchilla? Comment below. Did I mention I save people $620 for switching chinchilla updates. Got that chinchilla after all. Say what up Rocco?
1749291,30s Scars: One Way Out [T1] - 1749291,"Chevrolet owners tell stories of how their Silverados have taken a beating over the years. The owners say that each dent or ding is just like a scar for a person and that it's another chapter in a story. Chevrolet says that Silverados are the most dependable, longest-lasting full-sized pickup trucks on the road.",30,3490623.1,5260,2018-05-01T07:07:56-04:00,2019-06-30T23:24:28-04:00,"I got scar tissue there. Same thing with any D or dings on this truck. They all had a story about what happened to them. It was raining. There's only one way out. I could feel that barb wire is just digging into the paint. Two bulls were fighting. Bam, hit the truck, try explaining that to your insurance company. Another ding another scratch. It would just be another chapter in the story. Every scar tells a story and you can tell a lot more stories when your truck is a Chevy Silverado, the most dependable, longest lasting full size pickups on the road."
2381477,30s Matching Socks - 2381477,GEICO Customer Erin M. switched to GEICO Car Insurance and says the way it made her feel was like if you were at a laundromat and all of your socks came out of the dryer perfectly matched and you get recognized with a plaque on the wall.,30,11445395.8,4530,2019-08-12T03:49:10-04:00,2019-10-11T12:50:11-04:00,I saved hundreds when I switched my car insurance to Geico. This is how it made me feel. It was like that feeling when you pull your green sock out of the dryer and then the very next sock is the other green one and then you pull out two blue ones and you keep going until you've matched every single sock in perfect order. And the owner of the laundromat is so impressed. He hangs a picture of you next to the dryer Geico. 15 minutes could save you 15% or more on car insurance.
1667694,30s The Joy of Not Coughing - 1667694,"Because Charlie took Delsym 12-Hour Cough Relief, he is able to do a number of things, like feeding Zeus the tiger without waking him. He is also able to sit very still while the barber shaves his beard. Most notably, Charlie is able to surprise his grandma on her birthday by not coughing while inside a cake when she walks into the room. Delsym claims to be the only cough medication that works for 12 hours and the number one pediatrician recommended medicine for kids.",30,6434099.45,4506,2018-01-01T06:12:16-05:00,2018-02-26T05:48:27-05:00,"This is Charlie and this is Charlie not coughing because he took Delson 12 hour. This is Charlie not coughing while trying not to wake Zeus. This is Charlie not coughing while sitting very still. And this is Charlie not coughing while getting a little too into Nana's party because he took Dowson. Nothing lasts longer for powerful cough relief. Dowson, the joy of not coughing and don't forget kids. Four and up. Dowson is number one pediatrician recommended."
2807978,30s A New Moment in Wireless Has Begun - 2807978,"T-Mobile says a new moment is wireless has begun -- it's joining forces with Sprint. By bringing together the two networks, T-Mobile says it will build America's largest and most reliable 5G network. With more towers, engineers and coverage, customers are promised the best network and the best prices.",30,15579169.92,4330,2020-05-06T20:11:26-04:00,2020-08-30T22:56:08-04:00,"A new moment in wireless has begun. T Mobile and Sprint are joining forces by bringing together our two networks. T Mobile will build America's largest and most reliable five G network with more towers, more engineers and more coverage. You'll get the best five G network and the best prices. Welcome to T Mobile, America's largest five G network."
2764983,30s Relationship - 2764983,"John Cena reminisces by the fireside about the first time he met the Experian Boost cow. He tells the heartwarming story of how the animal helped him instantly boost his credit score a whole 13 points-- something which they laughed at and bonded over until the cow ate his cell phone. John asks the cow to reciprocate his feelings of love, but the only thing his friend can moo is the word ""Boost.""",30,3024341.86,4215,2020-04-06T02:11:27-04:00,2020-08-03T03:19:46-04:00,"Remember when we first met my credit scores weren't great. Then I found you. He told me that only exper boost could raise my credit scores instantly. And it did. I showed you my 13 point boost and we laughed and laughed and, and you ate my phone. Thank you for telling me about experience. Tell me something else like I love you, boost your credit scores instantly. Download the Experian app now."
3212463,30s Millions of People: Children's Allergy - 3212463,"Allegra claims that millions of people, including experts, are saying ""yes"" to its allergy medicine. The brand claims its products work faster and longer than the competition, keeping you allergy-free and ready for any adventure the day brings. Allegra also provides allergy relief in a children's formula.",30,7157233.15,3747,2021-02-15T04:40:56-05:00,2021-05-24T05:49:13-04:00,"Millions of people are saying yes to Allegra, including the experts. It's the number one allergist recommended brand for non drowsy relief. Allegra works two times faster than Claritin so you can get going first thing it lasts up to six times longer than Benadryl giving you relief through the late shift. And unlike Zyrtec, Allegra is non drowsy for all your nonstop adventures. Join the millions saying yes to Allegra and for kids try children's Allegra. The number one allergist recommended non drowsy brand."
1488315,30s Last Days - 1488315,"What would you do if the end of the world was nigh? As the sky turns orange and meteors fall to the ground, a man walks up to the jukebox in a bar. He selects ""It's Now or Never"" by Elvis Presley and then turns around to dance with a woman. They dance like the world is not ending because, according to Jose Cuervo, ""Tomorrow is Overrated.""",30,20925675.98,3699,2017-03-05T06:37:33-05:00,2018-06-11T03:09:14-04:00,"The end of civilization is upon us. Hold your loved ones close. Right. Because, well, you know. Yes."
